"artist","theme_id","theme_title","date","theme_source","theme_source_sentence"
"2","T01","Grief","2023","AT11","I wanted to participate in sadness and grief and put those images on social media and, through the tools of performance and photography, to put that story right up against how everyday consumers of social media were using photography. In the theater, people are always experiencing grief and speaking about grief because we go to the theater to learn something about who we are — that's part of the human experience."
"2","T01","Grief","2023","AT11","I feel like it's a given now that you can be vulnerable as a young artist. The work I made in 2010 was really vulnerable work. There is so much more permission now. Or there's less stigma around speaking about grief. I've gotten letters from students who have talked about their own experiences with grief at a really young age — the idea that I've given other young artists permission to be in grief."
"2","T02","Vulnerability","2023","AT11","I feel like it's a given now that you can be vulnerable as a young artist. The work I made in 2010 was really vulnerable work. The internet was not ready for me to post it then. If I'd done this work in 2010 in art school, I would have had to unpack the whole thing."
"2","T02","Vulnerability","2006","AT08","I think something really great can come out of putting yourself in an awkward situation. A lot of it is about discomfort and making myself as uncomfortable as the men feel, or putting myself in a situation where I'm revealing my loneliness as much as they're revealing theirs."
"2","T03","Bodily Autonomy","2023","AT11","Earlier in my career, I did a Q&A. And someone said to me, 'What gives you the right to use your body in this way?' I was so young that I actually was trying to unpack it and answer the question when the answer should have been, 'Why don't I have the right to use my own body?' Thinking back now, that person literally was trying to separate me from being in control of my own body. And it's hard not to feel like it was really wrapped up in the intersections of race and gender."
"2","T03","Bodily Autonomy","2012","AT09","I think some people didn't get the work. People weren't seeing their own bias against a young Asian person building a narrative around her own experience and her relationship to whiteness. 365 Days was another opportunity for me to look at myself, to place my body in the frame, to be recognized by the camera."
"2","T04","Loneliness","2012","AT09","A lot of people have said that the main thread in my work is loneliness or just wanting to create a world with someone who doesn't really have much in their life, so maybe I'm looking for someone who's lonely and wants to try to create something with me."
"2","T04","Loneliness","2006","AT08","These are men who live by themselves, who don't have anyone to care for them or anyone to care about. I wanted to put them in a situation where they were really in over their heads or out of their depth — just where they felt uncomfortable and didn't know how to deal with what was happening."
"2","T05","Belonging","2006","AT08","I knew I wanted to put myself in a world I didn't belong in because I liked the friction of feeling like I didn't belong — the terror of not knowing what's going to happen next in a room of people I didn't know how to interact with."
"2","T05","Belonging","2006","AT08","I'm a girl from a small town in Iowa. I keep finding myself drawn to the Midwest, because everything makes more sense there. The kind of men that I find out there are more familiar to me. There's something more humble about them, more open. Maybe they're familiar because they're the men I grew up watching."
"2","T09","Racial Visibility","2012","AT09","I was also thinking about the way Asian American people are viewed in photographs and how we historically have not been able to document ourselves. My father spent the earliest part of his childhood in a concentration camp, and his family was not allowed to document themselves, because cameras were illegal for Japanese Americans during World War II. It was important for me to document myself as a mixed-race American person and to be able to tell this story about myself."
"2","T08","Ancestry","2012","AT09","Around the time I started graduate school, I went to my grandparents' house in Oregon and was shown a photograph of my [Japanese] great-grandmothers, who were brought to America as picture brides. The chance strangeness of that — of being chosen to come to a country based on your physical attributes — was really fascinating to me. So I started going out and making pictures with men I met through chance encounters, and I started thinking about the chance involved in how we build a life with someone."
